model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,MS-PS4-1,78,0.9231,0.8422,0.9643,0.9417,0.0,0.0314
Gemma 3 27b,MS-PS4-2,99,0.9697,0.9147,0.9896,0.9783,0.0,0.0
Gemma 3 27b,MS-PS4-3,87,0.9425,0.8724,0.9752,0.9479,0.0,0.0163
Gemma 4 31b,MS-ESS1-1,78,0.9872,0.9309,0.9977,0.9902,0.0,0.0181
Gemma 4 31b,MS-ESS1-2,66,0.9545,0.8747,0.9844,0.9556,0.0,0.0371
Gemma 4 31b,MS-ESS1-3,87,0.954,0.8877,0.982,0.9762,0.0,0.0163
Gemma 4 31b,MS-ESS1-4,57,0.9825,0.9071,0.9969,0.9722,0.0,0.0248
Gemma 4 31b,MS-ESS2-1,48,0.9583,0.8602,0.9885,0.9848,0.0,0.0589
Gemma 4 31b,MS-ESS2-2,60,0.95,0.863,0.9829,1.0,0.0,0.0408
Gemma 4 31b,MS-ESS2-3,39,0.9744,0.8682,0.9955,0.9833,0.0,0.0363
Gemma 4 31b,MS-ESS2-4,54,0.963,0.8746,0.9898,1.0,0.0,0.0262
Gemma 4 31b,MS-ESS2-5,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-ESS2-6,36,1.0,0.9036,1.0,0.9815,0.0,0.0
Gemma 4 31b,MS-ESS3-1,75,0.9733,0.9079,0.9927,0.9881,0.0,0.0189
Gemma 4 31b,MS-ESS3-2,69,0.9855,0.9224,0.9974,0.9902,0.0,0.0205
Gemma 4 31b,MS-ESS3-3,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-ESS3-4,45,0.9556,0.8517,0.9877,0.9545,0.0,0.0314
Gemma 4 31b,MS-ESS3-5,39,1.0,0.9103,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-ETS1-1,84,1.0,0.9563,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-ETS1-2,54,1.0,0.9336,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-ETS1-3,57,0.9649,0.8808,0.9903,0.9722,0.0,0.0248
Gemma 4 31b,MS-ETS1-4,69,1.0,0.9473,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS1-1,39,0.9744,0.8682,0.9955,0.9848,0.0,0.0363
Gemma 4 31b,MS-LS1-2,27,1.0,0.8754,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS1-3,54,0.963,0.8746,0.9898,0.9762,0.0,0.0262
Gemma 4 31b,MS-LS1-4,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS1-5,30,0.9667,0.8333,0.9941,1.0,0.0,0.0471
Gemma 4 31b,MS-LS1-6,24,0.9583,0.7976,0.9926,0.9722,0.0,0.0589
Gemma 4 31b,MS-LS1-7,30,0.8667,0.7032,0.9469,0.9583,0.0,0.0471
Gemma 4 31b,MS-LS1-8,27,0.8889,0.7194,0.9615,1.0,0.0,0.0
Gemma 4 31b,MS-LS2-1,72,0.9167,0.8299,0.9612,0.975,0.0,0.0
Gemma 4 31b,MS-LS2-2,51,1.0,0.93,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS2-3,99,0.9798,0.9293,0.9944,1.0,0.0,0.0143
Gemma 4 31b,MS-LS2-4,42,1.0,0.9162,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS2-5,24,1.0,0.862,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS3-1,144,0.9931,0.9617,0.9988,0.9944,0.0,0.0098
Gemma 4 31b,MS-LS3-2,111,0.991,0.9507,0.9984,0.9943,0.0,0.0127
Gemma 4 31b,MS-LS4-1,81,0.9753,0.9144,0.9932,0.9867,0.0,0.0175
Gemma 4 31b,MS-LS4-2,75,0.9867,0.9283,0.9976,0.9917,0.0,0.0189
Gemma 4 31b,MS-LS4-3,36,0.9722,0.8583,0.9951,1.0,0.0,0.0393
Gemma 4 31b,MS-LS4-4,27,1.0,0.8754,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS4-5,15,1.0,0.7961,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS4-6,33,0.9697,0.8468,0.9946,1.0,0.0,0.0429
Gemma 4 31b,MS-PS1-1,81,0.9877,0.9333,0.9978,0.9792,0.0,0.0175
Gemma 4 31b,MS-PS1-2,21,1.0,0.8454,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS1-3,39,0.9231,0.7968,0.9735,0.9333,0.0,0.0628
Gemma 4 31b,MS-PS1-4,51,1.0,0.93,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS1-5,39,1.0,0.9103,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS1-6,30,0.9333,0.7868,0.9815,0.9583,0.0,0.0471
Gemma 4 31b,MS-PS2-1,60,1.0,0.9398,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS2-2,54,0.9815,0.9023,0.9967,0.9881,0.0,0.0262
Gemma 4 31b,MS-PS2-3,72,0.9722,0.9043,0.9923,0.9744,0.0,0.0196
Gemma 4 31b,MS-PS2-4,42,0.9524,0.8421,0.9868,0.9583,0.0,0.0673
Gemma 4 31b,MS-PS2-5,45,1.0,0.9213,1.0,0.95,0.0,0.0
Gemma 4 31b,MS-PS3-1,57,0.9825,0.9071,0.9969,0.9762,0.0,0.0248
Gemma 4 31b,MS-PS3-2,54,1.0,0.9336,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS3-3,66,0.9848,0.919,0.9973,1.0,0.0,0.0214
Gemma 4 31b,MS-PS3-4,33,1.0,0.8957,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS3-5,42,1.0,0.9162,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS4-1,78,0.9615,0.8929,0.9868,0.975,0.0,0.0
Gemma 4 31b,MS-PS4-2,99,1.0,0.9626,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS4-3,87,1.0,0.9577,1.0,1.0,0.0,0.0
Granite 3.3 Instruct,MS-ESS1-1,78,0.7436,0.6369,0.8274,0.7451,0.0,0.0907
Granite 3.3 Instruct,MS-ESS1-2,66,0.8788,0.7786,0.9373,0.8778,0.0,0.0567
Granite 3.3 Instruct,MS-ESS1-3,87,0.7126,0.6102,0.7971,0.754,0.0,0.0586
Granite 3.3 Instruct,MS-ESS1-4,57,0.7544,0.629,0.8477,0.8889,0.0,0.1241
Granite 3.3 Instruct,MS-ESS2-1,48,0.875,0.753,0.9414,0.9091,0.0,0.051
Granite 3.3 Instruct,MS-ESS2-2,60,0.8833,0.7782,0.9423,0.9333,0.0,0.0236
Granite 3.3 Instruct,MS-ESS2-3,39,0.8462,0.7027,0.9275,0.8833,0.0,0.0628
Granite 3.3 Instruct,MS-ESS2-4,54,0.8519,0.734,0.923,0.9242,0.0,0.0262
Granite 3.3 Instruct,MS-ESS2-5,45,0.7778,0.6373,0.8746,0.7917,0.0,0.175
Granite 3.3 Instruct,MS-ESS2-6,36,0.5278,0.3701,0.6801,0.7037,0.0,0.0786
Granite 3.3 Instruct,MS-ESS3-1,75,0.8667,0.7717,0.9259,0.881,0.0,0.0189
Granite 3.3 Instruct,MS-ESS3-2,69,0.9275,0.8413,0.9687,0.951,0.0,0.0739
Granite 3.3 Instruct,MS-ESS3-3,45,0.9778,0.8843,0.9961,0.9861,0.0,0.0314
Granite 3.3 Instruct,MS-ESS3-4,45,0.9111,0.7927,0.9649,0.9545,0.0,0.0314
Granite 3.3 Instruct,MS-ESS3-5,39,0.8974,0.7642,0.9594,0.9394,0.0,0.0363
Granite 3.3 Instruct,MS-ETS1-1,84,0.9643,0.9002,0.9878,0.9867,0.0,0.0292
Granite 3.3 Instruct,MS-ETS1-2,54,0.9259,0.8245,0.9708,0.8704,0.0,0.0262
Granite 3.3 Instruct,MS-ETS1-3,57,0.9123,0.8106,0.9619,0.9167,0.0,0.0496
Granite 3.3 Instruct,MS-ETS1-4,69,0.9565,0.8798,0.9851,0.9706,0.0,0.0
Granite 3.3 Instruct,MS-LS1-1,39,0.7179,0.5622,0.8346,0.8182,0.0,0.0725
Granite 3.3 Instruct,MS-LS1-2,27,0.963,0.8172,0.9934,1.0,0.0,0.0524
Granite 3.3 Instruct,MS-LS1-3,54,0.8889,0.7781,0.9481,0.9048,0.0,0.0
Granite 3.3 Instruct,MS-LS1-4,36,0.9722,0.8583,0.9951,0.95,0.0,0.0393
Granite 3.3 Instruct,MS-LS1-5,30,1.0,0.8865,1.0,1.0,0.0,0.0
Granite 3.3 Instruct,MS-LS1-6,24,0.875,0.69,0.9566,0.9167,0.0,0.1021
Granite 3.3 Instruct,MS-LS1-7,30,0.7,0.5212,0.8334,0.8333,0.0,0.0816
Granite 3.3 Instruct,MS-LS1-8,27,0.8519,0.6752,0.9408,0.9167,0.0,0.1386
Granite 3.3 Instruct,MS-LS2-1,72,0.9028,0.8126,0.9521,0.9583,0.0,0.0393
Granite 3.3 Instruct,MS-LS2-2,51,0.902,0.7902,0.9574,0.9286,0.0,0.0277
Granite 3.3 Instruct,MS-LS2-3,99,0.8485,0.765,0.906,0.8718,0.0,0.0495
Granite 3.3 Instruct,MS-LS2-4,42,0.9286,0.8099,0.9754,0.9583,0.0,0.0
Granite 3.3 Instruct,MS-LS2-5,24,1.0,0.862,1.0,0.9722,0.0,0.0
Granite 3.3 Instruct,MS-LS3-1,144,0.9167,0.86,0.9517,0.9333,0.0,0.034
Granite 3.3 Instruct,MS-LS3-2,111,0.7748,0.6886,0.8425,0.8621,0.0,0.0255
Granite 3.3 Instruct,MS-LS4-1,81,0.9012,0.817,0.9491,0.9467,0.0,0.0462
Granite 3.3 Instruct,MS-LS4-2,75,0.8133,0.7107,0.8854,0.8917,0.0,0.0754
Granite 3.3 Instruct,MS-LS4-3,36,0.5833,0.422,0.7286,0.9167,0.0,0.068
Granite 3.3 Instruct,MS-LS4-4,27,0.9259,0.7663,0.9794,0.9048,0.0,0.0524
Granite 3.3 Instruct,MS-LS4-5,15,0.9333,0.7018,0.9881,0.8889,0.0,0.0943
Granite 3.3 Instruct,MS-LS4-6,33,0.9394,0.8039,0.9832,0.9444,0.0,0.0429
Granite 3.3 Instruct,MS-PS1-1,81,0.7037,0.5969,0.7921,0.8056,0.0,0.0605
Granite 3.3 Instruct,MS-PS1-2,21,0.8095,0.6,0.9233,0.8333,0.0,0.0673
Granite 3.3 Instruct,MS-PS1-3,39,0.7949,0.6447,0.8922,0.9,0.0,0.0363
Granite 3.3 Instruct,MS-PS1-4,51,0.8039,0.6754,0.8898,0.8452,0.0,0.0277
Granite 3.3 Instruct,MS-PS1-5,39,0.5385,0.3857,0.6843,0.6061,0.0,0.0628
Granite 3.3 Instruct,MS-PS1-6,30,0.6667,0.4878,0.8077,0.8125,0.0,0.0943
Granite 3.3 Instruct,MS-PS2-1,60,0.65,0.5236,0.7583,0.6667,0.0,0.0707
Granite 3.3 Instruct,MS-PS2-2,54,0.8704,0.7558,0.9358,0.9048,0.0,0.1142
Granite 3.3 Instruct,MS-PS2-3,72,0.8194,0.7152,0.8913,0.8077,0.0,0.0393
Granite 3.3 Instruct,MS-PS2-4,42,0.6429,0.4917,0.7701,0.6667,0.0,0.0583
Granite 3.3 Instruct,MS-PS2-5,45,0.7111,0.5663,0.8227,0.8167,0.0,0.0314
Granite 3.3 Instruct,MS-PS3-1,57,0.7895,0.6671,0.8753,0.8333,0.0,0.0744
Granite 3.3 Instruct,MS-PS3-2,54,0.8333,0.7126,0.9098,0.8778,0.0,0.0786
Granite 3.3 Instruct,MS-PS3-3,66,0.7424,0.6257,0.8325,0.7692,0.0,0.0429
Granite 3.3 Instruct,MS-PS3-4,33,0.697,0.5266,0.8262,0.8167,0.0,0.1714
Granite 3.3 Instruct,MS-PS3-5,42,0.8571,0.7216,0.9328,0.9,0.0,0.0583
Granite 3.3 Instruct,MS-PS4-1,78,0.8333,0.7354,0.8999,0.8917,0.0,0.079
Granite 3.3 Instruct,MS-PS4-2,99,0.8283,0.7421,0.8899,0.8841,0.0,0.0515
Granite 3.3 Instruct,MS-PS4-3,87,0.8966,0.815,0.9446,0.9062,0.0,0.0282
