model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
OSS 120b,MS-ETS1,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
OSS 120b,MS-ETS1,recall,75,1.0,0.9513,1.0,,0.0,0.0
OSS 120b,MS-LS1,applied,87,0.977,0.92,0.9937,0.9885,0.0,0.0325
OSS 120b,MS-LS1,conceptual,93,1.0,0.9603,1.0,1.0,0.0,0.0
OSS 120b,MS-LS1,recall,87,0.954,0.8877,0.982,,0.0,0.0163
OSS 120b,MS-LS2,applied,99,1.0,0.9626,1.0,1.0,0.0,0.0
OSS 120b,MS-LS2,conceptual,96,0.9375,0.8703,0.971,0.9635,0.0,0.0255
OSS 120b,MS-LS2,recall,93,0.957,0.8946,0.9831,,0.0,0.0152
OSS 120b,MS-LS3,applied,90,1.0,0.9591,1.0,0.9944,0.0,0.0
OSS 120b,MS-LS3,conceptual,87,1.0,0.9577,1.0,1.0,0.0,0.0
OSS 120b,MS-LS3,recall,78,0.9872,0.9309,0.9977,,0.0,0.0181
OSS 120b,MS-LS4,applied,87,1.0,0.9577,1.0,1.0,0.0,0.0
OSS 120b,MS-LS4,conceptual,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
OSS 120b,MS-LS4,recall,81,1.0,0.9547,1.0,,0.0,0.0
OSS 120b,MS-PS1,applied,93,0.9785,0.9249,0.9941,0.9892,0.0,0.0152
OSS 120b,MS-PS1,conceptual,99,0.9697,0.9147,0.9896,0.9848,0.0,0.0247
OSS 120b,MS-PS1,recall,69,0.9855,0.9224,0.9974,,0.0,0.0205
OSS 120b,MS-PS2,applied,93,0.8925,0.8133,0.9405,0.9247,0.0,0.0304
OSS 120b,MS-PS2,conceptual,93,1.0,0.9603,1.0,1.0,0.0,0.0
OSS 120b,MS-PS2,recall,87,0.977,0.92,0.9937,,0.0,0.0163
OSS 120b,MS-PS3,applied,96,1.0,0.9615,1.0,1.0,0.0,0.0
OSS 120b,MS-PS3,conceptual,90,1.0,0.9591,1.0,1.0,0.0,0.0
OSS 120b,MS-PS3,recall,66,0.9697,0.8961,0.9917,,0.0,0.0214
OSS 120b,MS-PS4,applied,93,0.9785,0.9249,0.9941,0.9892,0.0,0.0152
OSS 120b,MS-PS4,conceptual,84,1.0,0.9563,1.0,1.0,0.0,0.0
OSS 120b,MS-PS4,recall,87,0.9885,0.9377,0.998,,0.0,0.0163
OSS 20b,MS-ESS1,applied,96,0.9062,0.8313,0.9499,0.9375,0.0,0.0442
OSS 20b,MS-ESS1,conceptual,99,0.9192,0.8486,0.9585,0.9444,0.0,0.0378
OSS 20b,MS-ESS1,recall,93,0.9677,0.9094,0.989,,0.0,0.0263
OSS 20b,MS-ESS2,applied,96,0.9167,0.8441,0.9572,0.9427,0.0,0.0147
OSS 20b,MS-ESS2,conceptual,93,0.8817,0.8005,0.9327,0.9194,0.0,0.0402
OSS 20b,MS-ESS2,recall,93,0.9355,0.8663,0.9701,,0.0,0.0263
OSS 20b,MS-ESS3,applied,96,0.9271,0.8571,0.9642,0.9531,0.0,0.0295
OSS 20b,MS-ESS3,conceptual,99,0.9495,0.8872,0.9782,0.9596,0.0,0.0286
OSS 20b,MS-ESS3,recall,78,0.9744,0.9112,0.9929,,0.0,0.0181
OSS 20b,MS-ETS1,applied,93,1.0,0.9603,1.0,1.0,0.0,0.0
OSS 20b,MS-ETS1,conceptual,96,0.9896,0.9433,0.9982,0.9896,0.0,0.0147
OSS 20b,MS-ETS1,recall,75,1.0,0.9513,1.0,,0.0,0.0
OSS 20b,MS-LS1,applied,87,1.0,0.9577,1.0,0.9828,0.0,0.0
OSS 20b,MS-LS1,conceptual,93,0.957,0.8946,0.9831,0.9785,0.0,0.0402
OSS 20b,MS-LS1,recall,87,0.908,0.8289,0.9527,,0.0,0.0163
OSS 20b,MS-LS2,applied,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
OSS 20b,MS-LS2,conceptual,96,0.9792,0.9272,0.9943,0.9896,0.0,0.0147
OSS 20b,MS-LS2,recall,93,0.914,0.8393,0.9558,,0.0,0.0548
OSS 20b,MS-LS3,applied,90,0.9778,0.9226,0.9939,0.9889,0.0,0.0314
OSS 20b,MS-LS3,conceptual,87,0.954,0.8877,0.982,0.9713,0.0,0.043
OSS 20b,MS-LS3,recall,78,0.9487,0.8754,0.9799,,0.0,0.0181
OSS 20b,MS-LS4,applied,87,0.908,0.8289,0.9527,0.9483,0.0,0.0163
OSS 20b,MS-LS4,conceptual,99,0.8485,0.765,0.906,0.8939,0.0,0.0495
OSS 20b,MS-LS4,recall,81,0.8642,0.773,0.9224,,0.0,0.0462
OSS 20b,MS-PS1,applied,93,0.9355,0.8663,0.9701,0.9677,0.0,0.0263
OSS 20b,MS-PS1,conceptual,99,0.9091,0.8362,0.9514,0.9495,0.0,0.0
OSS 20b,MS-PS1,recall,69,0.9855,0.9224,0.9974,,0.0,0.0205
OSS 20b,MS-PS2,applied,93,0.8495,0.763,0.9082,0.8817,0.0,0.0663
OSS 20b,MS-PS2,conceptual,93,0.8495,0.763,0.9082,0.9086,0.0,0.0304
OSS 20b,MS-PS2,recall,87,0.977,0.92,0.9937,,0.0,0.0163
OSS 20b,MS-PS3,applied,96,0.9792,0.9272,0.9943,0.974,0.0,0.0147
OSS 20b,MS-PS3,conceptual,90,0.9556,0.8912,0.9826,0.9722,0.0,0.0157
OSS 20b,MS-PS3,recall,66,0.9545,0.8747,0.9844,,0.0,0.0371
OSS 20b,MS-PS4,applied,93,0.9355,0.8663,0.9701,0.9624,0.0,0.0
OSS 20b,MS-PS4,conceptual,84,0.9405,0.8681,0.9743,0.9524,0.0,0.0168
OSS 20b,MS-PS4,recall,87,0.9425,0.8724,0.9752,,0.0,0.0163
