model,area,question_type,mean_fk_grade,mean_reading_ease,n,dist_from_band
Granite 3.3 Instruct,MS-ESS3,applied,10.1,56.68,96,1.1
Granite 3.3 Instruct,MS-ESS3,conceptual,9.85,56.02,99,0.85
Granite 3.3 Instruct,MS-ESS3,recall,10.32,52.93,78,1.32
Granite 3.3 Instruct,MS-ETS1,applied,9.69,60.69,93,0.69
Granite 3.3 Instruct,MS-ETS1,conceptual,10.07,54.19,96,1.07
Granite 3.3 Instruct,MS-ETS1,recall,10.69,52.53,75,1.69
Granite 3.3 Instruct,MS-LS1,applied,9.44,58.58,87,0.44
Granite 3.3 Instruct,MS-LS1,conceptual,8.98,61.33,93,0.0
Granite 3.3 Instruct,MS-LS1,recall,9.61,57.22,87,0.61
Granite 3.3 Instruct,MS-LS2,applied,9.43,59.33,99,0.43
Granite 3.3 Instruct,MS-LS2,conceptual,8.79,61.67,96,0.0
Granite 3.3 Instruct,MS-LS2,recall,10.82,49.54,93,1.82
Granite 3.3 Instruct,MS-LS3,applied,10.09,55.22,90,1.09
Granite 3.3 Instruct,MS-LS3,conceptual,9.54,59.71,87,0.54
Granite 3.3 Instruct,MS-LS3,recall,10.46,51.72,78,1.46
Granite 3.3 Instruct,MS-LS4,applied,10.32,54.5,87,1.32
Granite 3.3 Instruct,MS-LS4,conceptual,10.18,55.62,99,1.18
Granite 3.3 Instruct,MS-LS4,recall,10.45,52.97,81,1.45
Granite 3.3 Instruct,MS-PS1,applied,9.32,59.13,93,0.32
Granite 3.3 Instruct,MS-PS1,conceptual,9.84,56.73,99,0.84
Granite 3.3 Instruct,MS-PS1,recall,10.19,52.67,69,1.19
Granite 3.3 Instruct,MS-PS2,applied,8.58,66.79,93,0.0
Granite 3.3 Instruct,MS-PS2,conceptual,8.21,67.22,93,0.0
Granite 3.3 Instruct,MS-PS2,recall,8.59,65.21,87,0.0
Granite 3.3 Instruct,MS-PS3,applied,8.64,64.67,96,0.0
Granite 3.3 Instruct,MS-PS3,conceptual,8.17,68.06,90,0.0
Granite 3.3 Instruct,MS-PS3,recall,9.08,60.59,66,0.08
Granite 3.3 Instruct,MS-PS4,applied,8.9,62.55,93,0.0
Granite 3.3 Instruct,MS-PS4,conceptual,8.26,67.43,84,0.0
Granite 3.3 Instruct,MS-PS4,recall,8.9,62.35,87,0.0
Llama 3.1 8b,MS-ESS1,applied,6.64,76.42,96,0.0
Llama 3.1 8b,MS-ESS1,conceptual,6.64,76.12,99,0.0
Llama 3.1 8b,MS-ESS1,recall,7.24,71.05,93,0.0
Llama 3.1 8b,MS-ESS2,applied,7.42,70.85,96,0.0
Llama 3.1 8b,MS-ESS2,conceptual,7.21,71.02,93,0.0
Llama 3.1 8b,MS-ESS2,recall,7.65,67.96,93,0.0
Llama 3.1 8b,MS-ESS3,applied,7.99,67.84,96,0.0
Llama 3.1 8b,MS-ESS3,conceptual,7.91,67.38,99,0.0
Llama 3.1 8b,MS-ESS3,recall,8.96,61.89,78,0.0
Llama 3.1 8b,MS-ETS1,applied,7.69,70.25,93,0.0
Llama 3.1 8b,MS-ETS1,conceptual,7.67,69.58,96,0.0
Llama 3.1 8b,MS-ETS1,recall,7.58,69.61,75,0.0
Llama 3.1 8b,MS-LS1,applied,7.35,70.28,87,0.0
Llama 3.1 8b,MS-LS1,conceptual,7.65,68.89,93,0.0
Llama 3.1 8b,MS-LS1,recall,8.51,64.54,87,0.0
Llama 3.1 8b,MS-LS2,applied,7.04,71.39,99,0.0
Llama 3.1 8b,MS-LS2,conceptual,7.1,71.33,96,0.0
Llama 3.1 8b,MS-LS2,recall,8.55,62.36,93,0.0
Llama 3.1 8b,MS-LS3,applied,7.57,69.3,90,0.0
Llama 3.1 8b,MS-LS3,conceptual,7.44,69.42,87,0.0
Llama 3.1 8b,MS-LS3,recall,8.33,63.84,78,0.0
Llama 3.1 8b,MS-LS4,applied,8.19,66.19,87,0.0
Llama 3.1 8b,MS-LS4,conceptual,8.32,65.68,99,0.0
Llama 3.1 8b,MS-LS4,recall,8.88,62.72,81,0.0
Llama 3.1 8b,MS-PS1,applied,8.0,66.28,93,0.0
Llama 3.1 8b,MS-PS1,conceptual,8.11,65.53,99,0.0
Llama 3.1 8b,MS-PS1,recall,8.97,60.62,69,0.0
Llama 3.1 8b,MS-PS2,applied,6.71,75.34,93,0.0
Llama 3.1 8b,MS-PS2,conceptual,6.97,73.74,93,0.0
Llama 3.1 8b,MS-PS2,recall,7.0,72.98,87,0.0
Llama 3.1 8b,MS-PS3,applied,7.01,72.62,96,0.0
Llama 3.1 8b,MS-PS3,conceptual,6.56,75.79,90,0.0
Llama 3.1 8b,MS-PS3,recall,7.4,68.71,66,0.0
Llama 3.1 8b,MS-PS4,applied,7.03,72.8,93,0.0
Llama 3.1 8b,MS-PS4,conceptual,6.08,78.12,84,0.0
Llama 3.1 8b,MS-PS4,recall,7.44,69.99,87,0.0
Llama 3.3 70b,MS-ESS1,applied,6.34,77.87,96,0.0
Llama 3.3 70b,MS-ESS1,conceptual,6.28,77.46,99,0.0
Llama 3.3 70b,MS-ESS1,recall,7.18,72.1,93,0.0
Llama 3.3 70b,MS-ESS2,applied,7.11,72.31,96,0.0
Llama 3.3 70b,MS-ESS2,conceptual,7.1,71.88,93,0.0
Llama 3.3 70b,MS-ESS2,recall,8.13,66.68,93,0.0
Llama 3.3 70b,MS-ESS3,applied,8.06,68.94,96,0.0
Llama 3.3 70b,MS-ESS3,conceptual,7.38,70.81,99,0.0
Llama 3.3 70b,MS-ESS3,recall,8.64,62.36,78,0.0
Llama 3.3 70b,MS-ETS1,applied,7.94,70.73,93,0.0
Llama 3.3 70b,MS-ETS1,conceptual,7.74,69.52,96,0.0
Llama 3.3 70b,MS-ETS1,recall,7.8,68.73,75,0.0
Llama 3.3 70b,MS-LS1,applied,7.22,71.62,87,0.0
Llama 3.3 70b,MS-LS1,conceptual,6.96,73.3,93,0.0
Llama 3.3 70b,MS-LS1,recall,8.2,66.19,87,0.0
Llama 3.3 70b,MS-LS2,applied,7.29,70.93,99,0.0
Llama 3.3 70b,MS-LS2,conceptual,6.77,73.32,96,0.0
Llama 3.3 70b,MS-LS2,recall,8.37,63.28,93,0.0
Llama 3.3 70b,MS-LS3,applied,7.74,68.44,90,0.0
Llama 3.3 70b,MS-LS3,conceptual,7.07,72.97,87,0.0
Llama 3.3 70b,MS-LS3,recall,8.38,64.67,78,0.0
Llama 3.3 70b,MS-LS4,applied,7.85,68.81,87,0.0
Llama 3.3 70b,MS-LS4,conceptual,8.03,67.38,99,0.0
Llama 3.3 70b,MS-LS4,recall,8.84,62.53,81,0.0
Llama 3.3 70b,MS-PS1,applied,7.66,67.08,93,0.0
Llama 3.3 70b,MS-PS1,conceptual,7.96,66.82,99,0.0
Llama 3.3 70b,MS-PS1,recall,8.65,60.94,69,0.0
Llama 3.3 70b,MS-PS2,applied,6.64,75.82,93,0.0
Llama 3.3 70b,MS-PS2,conceptual,6.82,75.0,93,0.0
Llama 3.3 70b,MS-PS2,recall,7.36,70.76,87,0.0
Llama 3.3 70b,MS-PS3,applied,7.3,70.23,96,0.0
Llama 3.3 70b,MS-PS3,conceptual,6.79,74.21,90,0.0
Llama 3.3 70b,MS-PS3,recall,7.66,67.27,66,0.0
Llama 3.3 70b,MS-PS4,applied,7.18,72.59,93,0.0
Llama 3.3 70b,MS-PS4,conceptual,6.06,78.78,84,0.0
Llama 3.3 70b,MS-PS4,recall,7.96,67.41,87,0.0
Mistral Small 3.1,MS-ESS1,applied,6.78,74.17,96,0.0
Mistral Small 3.1,MS-ESS1,conceptual,6.79,74.05,99,0.0
Mistral Small 3.1,MS-ESS1,recall,7.19,70.14,93,0.0
Mistral Small 3.1,MS-ESS2,applied,7.11,71.88,96,0.0
Mistral Small 3.1,MS-ESS2,conceptual,7.19,69.69,93,0.0
Mistral Small 3.1,MS-ESS2,recall,7.28,68.72,93,0.0
Mistral Small 3.1,MS-ESS3,applied,8.09,65.55,96,0.0
Mistral Small 3.1,MS-ESS3,conceptual,7.52,67.72,99,0.0
Mistral Small 3.1,MS-ESS3,recall,8.2,62.34,78,0.0
Mistral Small 3.1,MS-ETS1,applied,7.44,71.18,93,0.0
Mistral Small 3.1,MS-ETS1,conceptual,7.42,67.42,96,0.0
Mistral Small 3.1,MS-ETS1,recall,7.51,67.36,75,0.0
Mistral Small 3.1,MS-LS1,applied,7.5,68.79,87,0.0
Mistral Small 3.1,MS-LS1,conceptual,6.99,70.44,93,0.0
Mistral Small 3.1,MS-LS1,recall,7.66,65.73,87,0.0
Mistral Small 3.1,MS-LS2,applied,7.45,68.54,99,0.0
Mistral Small 3.1,MS-LS2,conceptual,6.9,70.6,96,0.0
Mistral Small 3.1,MS-LS2,recall,8.67,59.59,93,0.0
Mistral Small 3.1,MS-LS3,applied,8.09,65.6,90,0.0
Mistral Small 3.1,MS-LS3,conceptual,7.4,68.6,87,0.0
Mistral Small 3.1,MS-LS3,recall,7.59,65.41,78,0.0
Mistral Small 3.1,MS-LS4,applied,8.24,64.37,87,0.0
Mistral Small 3.1,MS-LS4,conceptual,7.97,64.85,99,0.0
Mistral Small 3.1,MS-LS4,recall,8.57,61.87,81,0.0
Mistral Small 3.1,MS-PS1,applied,7.87,65.74,93,0.0
Mistral Small 3.1,MS-PS1,conceptual,7.87,65.32,99,0.0
Mistral Small 3.1,MS-PS1,recall,8.3,61.46,69,0.0
Mistral Small 3.1,MS-PS2,applied,7.08,72.97,93,0.0
Mistral Small 3.1,MS-PS2,conceptual,6.89,72.65,93,0.0
Mistral Small 3.1,MS-PS2,recall,7.21,71.29,87,0.0
Mistral Small 3.1,MS-PS3,applied,7.3,69.42,96,0.0
Mistral Small 3.1,MS-PS3,conceptual,6.89,72.98,90,0.0
Mistral Small 3.1,MS-PS3,recall,8.12,64.45,66,0.0
Mistral Small 3.1,MS-PS4,applied,6.99,71.26,93,0.0
Mistral Small 3.1,MS-PS4,conceptual,6.27,76.27,84,0.0
Mistral Small 3.1,MS-PS4,recall,7.58,67.87,87,0.0
Nemotron 3 Nano 30ba3,MS-ESS1,applied,6.74,73.96,96,0.0
Nemotron 3 Nano 30ba3,MS-ESS1,conceptual,7.39,70.49,99,0.0
Nemotron 3 Nano 30ba3,MS-ESS1,recall,7.13,69.57,93,0.0
Nemotron 3 Nano 30ba3,MS-ESS2,applied,7.56,69.4,96,0.0
Nemotron 3 Nano 30ba3,MS-ESS2,conceptual,7.46,68.17,93,0.0
Nemotron 3 Nano 30ba3,MS-ESS2,recall,8.11,63.58,93,0.0
Nemotron 3 Nano 30ba3,MS-ESS3,applied,8.15,65.99,96,0.0
Nemotron 3 Nano 30ba3,MS-ESS3,conceptual,7.79,66.71,99,0.0
Nemotron 3 Nano 30ba3,MS-ESS3,recall,8.91,58.85,78,0.0
