model,n,input_mean,input_sd,output_mean,output_sd,reasoning_mean,reasoning_sd,total_mean,total_sd,total_sum,reasoning_available_frac
Gemma 3 27b,3234,108.8,12.3,164.1,38.6,0.0,0.0,273.0,39.1,882779,0.0
Gemma 4 31b,3234,117.8,12.3,197.7,63.8,0.0,0.0,315.5,61.1,1020432,0.0
Granite 3.3 Instruct,3234,122.8,14.2,185.8,83.9,0.0,0.0,308.6,84.7,998026,0.0
Llama 3.1 8b,3234,131.9,12.2,203.1,63.9,0.0,0.0,335.0,65.0,1083273,0.0
Llama 3.3 70b,3234,131.9,12.2,150.7,50.1,0.0,0.0,282.6,51.0,914083,0.0
Mistral Small 3.1,3234,105.2,12.6,209.3,70.0,0.0,0.0,314.5,70.6,1016952,0.0
Nemotron 3 Nano 30ba3,3234,116.2,12.6,317.5,185.3,0.0,0.0,433.7,186.0,1402536,0.0
OSS 120b,3234,166.8,12.1,444.4,181.1,0.0,0.0,611.2,181.0,1976467,0.0
OSS 20b,3234,166.8,12.1,389.3,180.1,0.0,0.0,556.1,181.8,1798269,0.0
