model,area,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Llama 3.3 70b,MS-PS1,261,0.8851,0.8407,0.9183,0.9271,0.0,0.0163
Llama 3.3 70b,MS-PS2,273,0.8901,0.8475,0.9219,0.8952,0.0,0.0
Llama 3.3 70b,MS-PS3,252,0.9087,0.8668,0.9384,0.9382,0.0,0.0148
Llama 3.3 70b,MS-PS4,264,0.9167,0.8771,0.9443,0.9266,0.0,0.0375
Mistral Small 3.1,MS-ESS1,288,0.8576,0.8126,0.8933,0.9026,0.0,0.013
Mistral Small 3.1,MS-ESS2,282,0.8794,0.8362,0.9124,0.9365,0.0,0.0509
Mistral Small 3.1,MS-ESS3,273,0.9414,0.9069,0.9636,0.9513,0.0,0.0226
Mistral Small 3.1,MS-ETS1,264,0.9735,0.9463,0.9871,0.9815,0.0,0.0142
Mistral Small 3.1,MS-LS1,267,0.8652,0.819,0.901,0.925,0.0,0.0092
Mistral Small 3.1,MS-LS2,288,0.941,0.9075,0.9628,0.9744,0.0,0.0049
Mistral Small 3.1,MS-LS3,255,0.9216,0.882,0.9487,0.9605,0.0,0.0337
Mistral Small 3.1,MS-LS4,267,0.8989,0.8569,0.9296,0.9409,0.0,0.0331
Mistral Small 3.1,MS-PS1,261,0.8544,0.8065,0.8921,0.9245,0.0,0.0143
Mistral Small 3.1,MS-PS2,273,0.8755,0.831,0.9095,0.9086,0.0,0.0104
Mistral Small 3.1,MS-PS3,252,0.8849,0.8396,0.9187,0.9274,0.0,0.0499
Mistral Small 3.1,MS-PS4,264,0.8939,0.851,0.9256,0.9181,0.0,0.0193
Nemotron 3 Nano 30ba3,MS-ESS1,288,0.9479,0.9159,0.9682,0.959,0.0,0.0147
Nemotron 3 Nano 30ba3,MS-ESS2,282,0.9645,0.936,0.9806,0.9788,0.0,0.005
Nemotron 3 Nano 30ba3,MS-ESS3,273,0.9634,0.9339,0.98,0.9641,0.0,0.0137
Nemotron 3 Nano 30ba3,MS-ETS1,264,0.9924,0.9728,0.9979,0.9894,0.0,0.0054
Nemotron 3 Nano 30ba3,MS-LS1,267,0.9625,0.9324,0.9795,0.9806,0.0,0.0191
Nemotron 3 Nano 30ba3,MS-LS2,288,0.9653,0.9373,0.981,0.9949,0.0,0.0049
Nemotron 3 Nano 30ba3,MS-LS3,255,0.9882,0.966,0.996,0.9831,0.0,0.0096
Nemotron 3 Nano 30ba3,MS-LS4,267,0.9738,0.9469,0.9872,0.9892,0.0,0.0191
Nemotron 3 Nano 30ba3,MS-PS1,261,0.931,0.8936,0.9559,0.9453,0.0,0.0188
Nemotron 3 Nano 30ba3,MS-PS2,273,0.9304,0.8939,0.955,0.9382,0.0,0.0104
Nemotron 3 Nano 30ba3,MS-PS3,252,0.9683,0.9386,0.9838,0.9731,0.0,0.0056
Nemotron 3 Nano 30ba3,MS-PS4,264,0.9697,0.9414,0.9846,0.9774,0.0,0.0142
OSS 120b,MS-ESS1,288,0.9792,0.9553,0.9904,0.9846,0.0,0.0147
OSS 120b,MS-ESS2,282,0.9787,0.9544,0.9902,0.9841,0.0,0.023
OSS 120b,MS-ESS3,273,0.9707,0.9433,0.9851,0.9795,0.0,0.0137
OSS 120b,MS-ETS1,264,0.9924,0.9728,0.9979,0.9947,0.0,0.0054
OSS 120b,MS-LS1,267,0.9775,0.9518,0.9897,0.9944,0.0,0.0092
