rank,model,macro_accuracy,micro_accuracy,rubric_macro,refusal_rate,n_items,mean_response_fk_grade,mean_total_tokens,mean_reasoning_tokens
1,OSS 120b,0.9808,0.9805,0.9881,0.0,3234,8.16,611.2,0.0
2,Gemma 4 31b,0.9795,0.9793,0.9883,0.0,3234,7.42,315.5,0.0
3,Nemotron 3 Nano 30ba3,0.9631,0.9629,0.9728,0.0,3234,7.83,433.7,0.0
4,OSS 20b,0.9391,0.9388,0.9567,0.0,3234,7.65,556.1,0.0
5,Llama 3.3 70b,0.9301,0.9301,0.951,0.0,3234,7.49,282.6,0.0
6,Gemma 3 27b,0.9213,0.9212,0.9384,0.0,3234,6.46,273.0,0.0
7,Mistral Small 3.1,0.8989,0.8989,0.9376,0.0,3234,7.48,314.5,0.0
8,Granite 3.3 Instruct,0.8329,0.833,0.8762,0.0,3234,9.35,308.6,0.0
9,Llama 3.1 8b,0.7984,0.7981,0.8523,0.0,3234,7.56,335.0,0.0
